,,Profit and Loss Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Profit and Loss Report from 01/04/2024 to 31/03/2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,,,,Buy Value,Sell Value,Gross P&L,Brokerage,Exch. Charges,SEBI Fees,GST,STT,Stamp Duty,Other Charges,Total Charges,Net P&L,,,,,,,,,,,,,,,,,,,,,,,
Equity,,,,"18,80,009.55","18,56,063.10","-23,946.45 ","80.00
","120.30
","3.74
","36.73
","467.00
","56.00
","3.73
","767.50
","-24,713.95 ",,,,,,,,,,,,,,,,,,,,,,,
Futures and Options,,,,"15,87,90,641.98","15,73,13,923.17","-1,469,411.44 ","90,680.00
","77,871.08
","316.15
","30,531.46
","69,658.04
","3,975.27
","909.83
","2,73,941.67","-1,743,352.88 ",,,,,,,,,,,,,,,,,,,,,,,
Commodities,,,,"11,46,66,072.50","11,47,29,612.38","  21,352.38 ","12,280.00
","10,872.32
","229.43
","4,212.31
","13,831.49
","2,354.32
","0.00
","43,779.83
","-22,427.43 ",,,,,,,,,,,,,,,,,,,,,,,
Currency,,,,"0.00
","0.00
",  -   ,"0.00
","0.00
","0.00
","0.00
","0.00
","0.00
","0.00
","0.00
",  -   ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Security Name,,,ISIN,Buy Qty.,Avg. Buy Price,Buy Value,Sell Qty.,Avg. Sell Price,Sell Value,Realised P&L,Realised P&L %,Open Qty.,Open Avg. Price,Closing Rate,Unrealised P&L,Unrealised P&L %,,,,,,,,,,,,,,,,,,,,,
1,Exide Industries,,,INE302A01020,"4,000","470.00
","18,80,009.55","4,000.00","464.02
","18,56,063.10","-23,946.45 ",-1.27%,0.00,"0.00
","0.00
",  -   ,0.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F&O Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Security Name,,,ISIN,Buy Qty.,Avg. Buy Price,Buy Value,Sell Qty.,Avg. Sell Price,Sell Value,Realised P&L,Realised P&L %,Open Qty.,Open Avg. Price,Closing Rate,Unrealised P&L,Unrealised P&L %,,,,,,,,,,,,,,,,,,,,,
1,FUT AARTIIND 31 Oct 2024,,,,"1,000.00","560.25
","5,60,250.00","1,000.00","567.00
","5,67,000.00","  6,750.00 ",1.20%,0.00,"0.00
","0.00
",  -   ,0.00%,,,,,,,,,,,,,,,,,,,,,
2,OPT AARTIIND 25 Apr 2024 750 CE,,,,"1,000.00","20.15
","20,150.00
","1,000.00","2.55
","2,550.00
","-17,600.00 ",-87.34%,0.00,"0.00
","0.00
",  -   ,0.00%,,,,,,,,,,,,,,,,,,,,,
3,OPT ABB 25 Apr 2024 6500 CE,,,,125.00,"150.00
","18,750.00
",125.00,"45.70
","5,712.50
","-13,037.50 ",-69.53%,0.00,"0.00
","0.00
",  -   ,0.00%,,,,,,,,,,,,,,,,,,,,,
4,OPT ABB 30 May 2024 6700 PE,,,,125.00,"253.00
","31,625.00
",125.00,"205.00
","25,625.00
","-6,000.00 ",-18.97%,0.00,"0.00
","0.00
",  -   ,0.00%,,,,,,,,,,,,,,,,,,,,,
